itemID,artist,title,categoryID
248,B.B.King,The Thrill is Gone,1
250,Mamie Smith,Crazy Blues,1
251,Robert Johnson,Hellhound On My Trail,1
252,T-Bone Walker,Stormy Monday,1
253,Antonio Vivaldi,Four Seasons,2
254,Bach,Brandenburg Concerto 3,2
255,Beethoven,Symphony 5,2
256,Franz Schubert,Trout Quintet,2
257,George Gershwin,Rhapsody in Blue,2
258,Charlie Daniels Band,The Devil Went Down to Georgia,3
259,Hank Williams,Im So Lonesome I Could Cry,3
260,Johnny Cash,I Walk the Line,3
261,Tammy Wynette,Stand By Your Man,3
262,The Statler Brothers,Flowers On The Wall,3
263,Bee Gees,Stayin Alive,4
264,Chic,Good Times,4
265,Gloria Gaynor,I Will Survive,4
266,Lipps Inc,Funkytown,4
267,Village People,YMCA,4
268,2Pac,Dear Mama,5
269,Coolio,Gangsta Paradise,5
270,Notorious B.I.G.,Hypnotize,5
271,Run DMC,Its Like That,5
272,Sugarhill Gang,Rappers Delight,5
273,Art Blakey and The Jazz Messengers,Moanin,6
274,John Coltrane,Giant Steps,6
275,Louis Armstrong,Potato Head Blues,6
276,Miles Davis,So What,6
277,Thelonious Monk,Straight No Chaser,6
278,Amon Amarth,Pursuit Of Vikings,7
279,Hypocrisy,Apocalypse,7
280,Iron Maiden,The Trooper,7
281,Metallica,Master Of Puppets,7
282,Pantera,Cemetery Gates,7
283,ABBA,Dancing Queen,8
284,Britney Spears,Toxic,8
285,Lady GaGa,Paparazzi,8
286,Madonna,Like A Prayer,8
287,Michael Jackson,Billie Jean,8
288,Bob Marley,I Shot The Sheriff,9
289,Bob Marley,No Woman No Cry,9
290,Desmond Dekker,Israelites,9
291,The Abyssinians,Satta Massagana,9
292,Toots And The Maytals,Pressure Drop,9
293,AC-DC,You Shook Me All Night Long,10
294,Deep Purple,Highway Star,10
295,Dire Straits,Sultans of Swing,10
296,Jimi Hendrix,Purple Haze,10
297,The Animals,House of the Rising Sun,10
249,Led Zeppelin,I Can't Quit You Baby,1
691,Die Atzen Frauenarzt and Manny Marc,Disco Pogo,4
707,Nickelback,If Today Was Your Last Day (Album Version),10
